"UF da residência";"2023";"2024";"2025";" Total"
"11 Rondônia";"76";"87";"51";"214"
"12 Acre";"33";"20";"9";"62"
"13 Amazonas";"121";"116";"46";"283"
"14 Roraima";"22";"15";"3";"40"
"15 Pará";"154";"109";"60";"323"
"16 Amapá";"17";"18";"5";"40"
"17 Tocantins";"52";"56";"28";"136"
"21 Maranhão";"142";"131";"59";"332"
"22 Piauí";"91";"108";"39";"238"
"23 Ceará";"384";"395";"123";"902"
"24 Rio Grande do Norte";"155";"169";"75";"399"
"25 Paraíba";"259";"202";"35";"496"
"26 Pernambuco";"312";"264";"91";"667"
"27 Alagoas";"91";"134";"56";"281"
"28 Sergipe";"89";"79";"39";"207"
"29 Bahia";"611";"549";"290";"1450"
"31 Minas Gerais";"1583";"1443";"750";"3776"
"32 Espírito Santo";"206";"214";"148";"568"
"33 Rio de Janeiro";"1108";"1112";"504";"2724"
"35 São Paulo";"2901";"3322";"1507";"7730"
"41 Paraná";"788";"751";"341";"1880"
"42 Santa Catarina";"662";"638";"426";"1726"
"43 Rio Grande do Sul";"1106";"1017";"425";"2548"
"50 Mato Grosso do Sul";"145";"165";"90";"400"
"51 Mato Grosso";"120";"133";"70";"323"
"52 Goiás";"368";"287";"95";"750"
"53 Distrito Federal";"133";"150";"76";"359"
"Total";"11729";"11684";"5441";"28854"
