"UF da residência";"0";"1";"2";"3";"4";"Não se aplica";" Total"
"11 Rondônia";"1";"6";"26";"64";"102";"15";"214"
"12 Acre";"0";"5";"13";"24";"12";"8";"62"
"13 Amazonas";"0";"1";"90";"132";"58";"2";"283"
"14 Roraima";"0";"1";"7";"19";"13";"0";"40"
"15 Pará";"0";"15";"53";"167";"76";"12";"323"
"16 Amapá";"0";"25";"2";"10";"2";"1";"40"
"17 Tocantins";"0";"5";"32";"67";"31";"1";"136"
"21 Maranhão";"1";"5";"83";"155";"83";"5";"332"
"22 Piauí";"2";"4";"66";"99";"62";"5";"238"
"23 Ceará";"51";"48";"157";"403";"220";"23";"902"
"24 Rio Grande do Norte";"17";"26";"82";"163";"95";"16";"399"
"25 Paraíba";"0";"6";"108";"229";"134";"19";"496"
"26 Pernambuco";"19";"13";"173";"248";"198";"16";"667"
"27 Alagoas";"0";"3";"62";"114";"100";"2";"281"
"28 Sergipe";"1";"3";"36";"78";"69";"20";"207"
"29 Bahia";"6";"50";"230";"721";"419";"24";"1450"
"31 Minas Gerais";"94";"104";"692";"1505";"1181";"200";"3776"
"32 Espírito Santo";"2";"5";"84";"257";"211";"9";"568"
"33 Rio de Janeiro";"84";"53";"563";"1241";"654";"129";"2724"
"35 São Paulo";"154";"299";"1476";"2789";"2682";"330";"7730"
"41 Paraná";"62";"21";"310";"782";"634";"71";"1880"
"42 Santa Catarina";"20";"16";"307";"687";"638";"58";"1726"
"43 Rio Grande do Sul";"64";"250";"343";"882";"869";"140";"2548"
"50 Mato Grosso do Sul";"1";"3";"76";"178";"127";"15";"400"
"51 Mato Grosso";"1";"6";"67";"114";"125";"10";"323"
"52 Goiás";"18";"18";"71";"222";"381";"40";"750"
"53 Distrito Federal";"4";"16";"52";"153";"124";"10";"359"
"Total";"602";"1007";"5261";"11503";"9300";"1181";"28854"
